date_added,clean,persistent_id,name,kind,podcast,bitrate,unplayed,comments,track_number,location,file_folder_count,track_id,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,year,artist
2022-01-04 02:36:36,True,08265C995B6144DB,Jacob 5,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_033_Jacob_5.mp3,,14736,8979872,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-06-15 16:05:00,Podcast,,408000,,Restoration Archives
2022-01-04 02:36:36,True,76974DDB8D509844,Enos,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_034_Enos.mp3,,14740,8607363,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-07-29 23:15:00,Podcast,,389000,,Restoration Archives
2022-01-04 02:36:36,True,2BB1163EF1A2A00A,Jarom,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_035_Jarom.mp3,,14738,6297095,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-08-09 15:13:39,Podcast,,274000,,Restoration Archives
2022-01-04 02:36:36,True,703FD4DF6F37D7BB,Omni,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_036_Omni.mp3,,14734,10531543,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-08-09 15:17:03,Podcast,,485000,,Restoration Archives
2022-01-04 02:36:36,True,0B7D6A77C3F2A12D,Words of Mormon,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_037_WOM.mp3,,14732,7292892,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-08-23 17:20:08,Podcast,,323000,,Restoration Archives
2022-01-04 02:36:36,True,D614338EEC526738,Mosiah 1,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_038_Mosiah-1.mp3,,14730,32876689,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-08-24 19:50:26,Podcast,,1603000,,Restoration Archives
2022-01-04 02:36:36,True,0AB3F1B103C2E8DF,Mosiah 2,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_039_Mosiah-2.mp3,,14728,12892493,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-08-30 05:40:27,Podcast,,603000,,Restoration Archives
2022-01-04 02:36:36,True,77D671B79614925E,Mosiah 3,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_040_Mosiah_3.mp3,,14726,6507122,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-08-30 20:15:37,Podcast,,284000,,Restoration Archives
2022-01-04 02:36:36,True,327EFD8D9A823F5A,Mosiah 4,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_041_Mosiah_4.mp3,,14724,3156134,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-09-13 22:45:10,Podcast,,117000,,Restoration Archives
2022-01-04 02:36:36,True,EC5B521E354B6470,Mosiah 5,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_042_Mosiah_5.mp3,,14722,18884983,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-09-21 16:35:57,Podcast,,903000,,Restoration Archives
