date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,comments,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2023-04-09 18:49:16,BF46121DAB5BE075,Introducing Compiler,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/cdn.simplecast.com/audio/c2f72873-31fc-4bc6-9d40-e596dcb6b867/episodes/f542284d-6a2e-4432-a743-bdc014a692e9/audio/e47bae05-2fc8-4f74-9885-7452120d9801/default_tc.mp3?aid=rss_feed&feed=Ynq4lw9w,,39758,,2456560,,,URL,Compiler,,,2021-04-13 16:17:41,Podcast,,134000,,,Red Hat
2023-04-09 18:49:16,231AB99DB3F153AA,Should Managers Code?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/20b2f5f2-119c-45b1-98a6-33480a0ccc11.mp3?aid=rss_feed&feed=Ynq4lw9w,,39760,,22633332,,,URL,Compiler,,,2021-08-05 07:05:00,Podcast,,1395000,,,Red Hat
2023-04-09 18:49:16,6CC517B9BCA5CCE8,What Can Video Games Teach Us About Edge Computing?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/1b7129dc-bcd1-4f7f-826a-eac14d7bfd0e.mp3?aid=rss_feed&feed=Ynq4lw9w,,39762,,18983189,,,URL,Compiler,,,2021-08-19 07:05:00,Podcast,,1167000,,,Red Hat
2023-04-09 18:49:16,9B2A73E5D26FD6AE,What Are Tech Hiring Managers Looking For?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/0d550951-f0d5-42aa-b3a6-e365e49e07cb.mp3?aid=rss_feed&feed=Ynq4lw9w,,39764,,20384693,,,URL,Compiler,,,2021-09-02 07:05:00,Podcast,,1255000,,,Red Hat
2023-04-09 18:49:16,3B828C8FE24E04B7,Do We Want a World Without Technical Debt?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/bf909911-56c6-40e7-855d-b6d0a945995a.mp3?aid=rss_feed&feed=Ynq4lw9w,,39766,,19195794,,,URL,Compiler,,,2021-09-16 07:00:00,Podcast,,1181000,,,Red Hat
2023-04-09 18:49:16,4F02EC1FD0CB2759,Can Superstitions Solve Technical Problems?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/c2fdec9b-ad04-4a7e-a391-37c61b9e687b.mp3?aid=rss_feed&feed=Ynq4lw9w,,39768,,27753876,,,URL,Compiler,,,2021-09-30 07:00:00,Podcast,,1715000,,,Red Hat
2023-04-09 18:49:16,994E38D02712A67D,Do We Still Need Strong Copyleft Licenses?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/bfc81146-1909-4735-9593-3fd2e2797e8a.mp3?aid=rss_feed&feed=Ynq4lw9w,,39770,,31963853,,,URL,Compiler,,,2021-10-14 07:00:00,Podcast,,1978000,,,Red Hat
2023-04-09 18:49:16,AA11D4400B29D3E9,How Do We Mentor The Next Generation Of IT Leaders?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/5451dad9-85a9-42c1-8850-11c7e8fccb1d.mp3?aid=rss_feed&feed=Ynq4lw9w,,39772,,25990533,,,URL,Compiler,,,2021-10-28 07:00:00,Podcast,,1605000,,,Red Hat
2023-04-09 18:49:16,99B5B15696279DF7,Why Should You Write Technical Documentation?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/3946911a-1565-434b-bc7d-f025c916434d.mp3?aid=rss_feed&feed=Ynq4lw9w,,39774,,28864625,,,URL,Compiler,,,2021-11-11 08:05:00,Podcast,,1785000,,,Red Hat
2023-04-09 18:49:16,9C4E813427DE9717,How Are Tech Hubs Changing?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/d9caea90-bd94-437a-ad5c-d1cd42241de8.mp3?aid=rss_feed&feed=Ynq4lw9w,,39776,,30153884,,,URL,Compiler,,,2021-11-25 08:05:00,Podcast,,1865000,,,Red Hat
