date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,comments,track_number,location,sort_album,file_folder_count,track_id,play_count,size,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2022-01-04 02:36:37,B7C2E6DFE03A8DB4,"1 Nephi 16-22 - ""leadeth me by the way""",,True,,,True,,,https://mcdn.podbean.com/mf/web/u3rg3y/5_-_1_Nephi_16-22.mp3,Scripture Study Project,,15670,,31213174,,URL,The Scripture Study Project,,2020-01-27 06:04:36,Podcast,,1733000,,,Zach and Krista
2022-01-04 02:36:37,FC824DFED1808969,"2 Nephi 1-5 - ""encircled about eternally""",,True,,,True,,,https://mcdn.podbean.com/mf/web/rqdwu3/6_-_2_Nephi_1-5.mp3,Scripture Study Project,,15672,,26237546,,URL,The Scripture Study Project,,2020-02-03 06:41:45,Podcast,,1799000,,,Zach and Krista
2022-01-04 02:36:37,21F692971032F9CE,"2 Nephi 6-10 - ""the Mighty God shall deliver his people""",,True,,,True,,,https://mcdn.podbean.com/mf/web/dkkucy/7_-_2_Nephi_6-10.mp3,Scripture Study Project,,15674,,32220876,,URL,The Scripture Study Project,,2020-02-10 04:59:48,Podcast,,1754000,,,Zach and Krista
2022-01-04 02:36:37,34660E82D9860B41,"2 Nephi 11-25 - ""persuade...to believe in Christ""",,True,,,True,,,https://mcdn.podbean.com/mf/web/ewn4xt/8_-_2_Nephi_11-25.mp3,Scripture Study Project,,15676,,33476502,,URL,The Scripture Study Project,,2020-02-17 06:28:12,Podcast,,1772000,,,Zach and Krista
2022-01-04 02:36:37,6F648718C6EA2CEB,"2 Nephi 26-30 - ""the words of a book""",,True,,,True,,,https://mcdn.podbean.com/mf/web/se2pk4/9_-_2_Nephi_26-30.mp3,Scripture Study Project,,15678,,29956322,,URL,The Scripture Study Project,,2020-02-24 05:58:24,Podcast,,1556000,,,Zach and Krista
2022-01-04 02:36:37,6B0350CC45A51173,"2 Nephi 31-33 - ""feast upon the words of Christ""",,True,,,True,,,https://mcdn.podbean.com/mf/web/rs2dt8/10_-_2_Nephi_31-33.mp3,Scripture Study Project,,15680,,30535807,,URL,The Scripture Study Project,,2020-03-02 06:32:04,Podcast,,1684000,,,Zach and Krista
2022-01-04 02:36:37,0B462761BAB49442,"Jacob 1-4 - ""anxiety for the welfare of your souls""",,True,,,True,,,https://mcdn.podbean.com/mf/web/euus6m/11_-_Jacob_1-4.mp3,Scripture Study Project,,15682,,33617842,,URL,The Scripture Study Project,,2020-03-09 05:34:12,Podcast,,1775000,,,Zach and Krista
2022-01-04 02:36:37,E58E46311D559DF7,"Jacob 5-7 - ""I could not be shaken""",,True,,,True,,,https://mcdn.podbean.com/mf/web/pzpbf9/12_-_Jacob_5-7.mp3,Scripture Study Project,,15684,,37806509,,URL,The Scripture Study Project,,2020-03-16 05:48:38,Podcast,,1927000,,,Zach and Krista
2022-01-04 02:36:37,BB03D80FDE0A74E9,"Enos-Words of Mormon - ""for a wise purpose""",,True,,,True,,,https://mcdn.podbean.com/mf/web/t8cgt8/13_-_Enos-WofM.mp3,Scripture Study Project,,15686,,27011337,,URL,The Scripture Study Project,,2020-03-23 04:51:47,Podcast,,1720000,,,Zach and Krista
2022-01-04 02:36:37,107AF4E7429539E0,Bonus: General Conference & Easter,,True,,,True,,,https://mcdn.podbean.com/mf/web/3mbjgr/14_-_GC-Easter.mp3,Scripture Study Project,,15688,,29817900,,URL,The Scripture Study Project,,2020-03-30 04:33:37,Podcast,,1528000,,,Zach and Krista
2022-01-04 02:36:37,F67F422A58DA6109,"Mosiah 1-3 - ""the mysteries of God""",,True,,2020-04-25 21:45:22,True,,,https://mcdn.podbean.com/mf/web/uccmgj/15_-_Mosiah_1-3.mp3,Scripture Study Project,,15690,,30139045,,URL,The Scripture Study Project,,2020-04-13 06:06:37,Podcast,,1587000,3670674322,,Zach and Krista
2022-01-04 02:36:37,9CC7AEF495C66993,"Mosiah 4-6 - ""a mighty change in us""",,True,,,True,,,https://mcdn.podbean.com/mf/web/45f5g9/16_-_Mosiah_4-6.mp3,Scripture Study Project,,15692,,26115437,,URL,The Scripture Study Project,,2020-04-20 04:20:37,Podcast,,1785000,,,Zach and Krista
2022-01-04 02:36:37,1DC0F160E6B37DFB,"Mosiah 7-10 - ""deliver you out of bondage""",,True,,,True,,,https://mcdn.podbean.com/mf/web/cxvhqu/17_-_Mosiah_7-10.mp3,Scripture Study Project,,15694,,33284448,,URL,The Scripture Study Project,,2020-04-27 05:37:49,Podcast,,1744000,,,Zach and Krista
2022-01-04 02:36:37,54217AE5CE2B404A,"Mosiah 11-17 - ""here is the man""",,True,,,True,,,https://mcdn.podbean.com/mf/web/xaz36w/18_-_Mosiah_11-17.mp3,Scripture Study Project,,15696,,34423573,,URL,The Scripture Study Project,,2020-05-04 05:48:29,Podcast,,1787000,,,Zach and Krista
2022-01-04 02:36:37,C783A6F82F25CF97,"Mosiah 18-24 - ""none could deliver them but the Lord their God""",,True,,2020-05-29 21:45:00,True,,,https://mcdn.podbean.com/mf/web/mu7t6n/19-Mosiah18-249je6v.mp3,Scripture Study Project,,15698,,33400314,,URL,The Scripture Study Project,,2020-05-11 07:00:35,Podcast,,1781000,3673611900,,Zach and Krista
2022-01-04 02:36:37,C07407F733588933,Bonus: Mosiah 18 with Maria Eckersley,,True,,,True,,,https://mcdn.podbean.com/mf/web/vnkoqr/19a-Mosiah18bonus7oqt4.mp3,Scripture Study Project,,15700,,29868843,,URL,The Scripture Study Project,,2020-05-14 05:35:01,Podcast,,1777000,,,Zach and Krista
2022-01-04 02:36:37,31C5809F26269DE0,"Mosiah 25-28 - ""I have repented...and been redeemed""",,True,,,True,,,https://mcdn.podbean.com/mf/web/0oi3b5/20-Mosiah25-286bztg.mp3,Scripture Study Project,,15702,,29656207,,URL,The Scripture Study Project,,2020-05-18 03:47:29,Podcast,,1600000,,,Zach and Krista
2022-01-04 02:36:37,14A0F5F38154B956,"Mosiah 29-Alma 4 -  ""that he might reclaim them""",,True,,,True,,,https://mcdn.podbean.com/mf/web/1x3ne7/21_-_Mosiah_29-Alma_1_amjbj.mp3,Scripture Study Project,,15704,,30268366,,URL,The Scripture Study Project,,2020-05-25 05:28:39,Podcast,,1661000,,,Zach and Krista
2022-01-04 02:36:37,6E53AB6DF04EE640,"Alma 5-7 - ""can you imagine""",,True,,,True,,,https://mcdn.podbean.com/mf/web/16xz9i/22_-_Alma_5-7_95odu.mp3,Scripture Study Project,,15706,,29746866,,URL,The Scripture Study Project,,2020-06-01 04:28:02,Podcast,,1799000,,,Zach and Krista
2022-01-04 02:36:37,B880BC345E9A3567,"Alma 8-16 - ""How long shall we suffer""",,True,,,True,,,https://mcdn.podbean.com/mf/web/vd11w5/23_-_Alma_8-16_7jikx.mp3,Scripture Study Project,,15708,,30295797,,URL,The Scripture Study Project,,2020-06-08 03:21:54,Podcast,,1656000,,,Zach and Krista
2022-01-04 02:36:37,F5D814C79A0531A2,"Alma 17-22 - ""an instrument in the hand of God""",,True,,,True,,,https://mcdn.podbean.com/mf/web/ih6naw/24_-_Alma_17-22_847tc.mp3,Scripture Study Project,,15710,,29110463,,URL,The Scripture Study Project,,2020-06-22 06:14:26,Podcast,,1550000,,,Zach and Krista
2022-01-04 02:36:37,63E6229FDE6BFF50,"Alma 23-29 - ""I ought to be content""",,True,,2020-07-11 21:52:51,True,,,https://mcdn.podbean.com/mf/web/pdfhmb/25_-_Alma_23-29_76geg.mp3,Scripture Study Project,,15712,,27098100,,URL,The Scripture Study Project,,2020-06-29 05:50:59,Podcast,,1781000,3677327571,,Zach and Krista
2022-01-04 02:36:37,8150E80B74153C47,"Alma 30-31 - ""I have all things as a testimony""",,True,,2020-07-18 20:51:33,True,,,https://mcdn.podbean.com/mf/web/8willt/26_-_Alma_30-31_7w9vt.mp3,Scripture Study Project,,15714,,32822641,,URL,The Scripture Study Project,,2020-07-06 05:20:38,Podcast,,1762000,3677928693,,Zach and Krista
2022-01-04 02:36:37,9FFFA42F6BEB1648,"Alma 32-35 - ""no place to worship""",,True,,2020-07-20 13:36:06,True,,,https://mcdn.podbean.com/mf/web/5p7v2a/Alma_32-35_9pr4j.mp3,Scripture Study Project,,15716,,31459996,,URL,The Scripture Study Project,,2020-07-13 05:58:22,Podcast,,1783000,3678075366,,Zach and Krista
2022-01-04 02:36:37,E4E21000AD7C1A23,"Alma 36-38 - ""O Jesus, thou Son of God""",,True,,2020-11-17 19:16:59,,,,https://mcdn.podbean.com/mf/web/cpv5dj/28_-_Alma_36-38_ahtz9.mp3,Scripture Study Project,,15718,1,28864096,,URL,The Scripture Study Project,,2020-07-20 05:30:33,Podcast,,1783000,3688460219,,Zach and Krista
2022-01-04 02:36:37,2C440C9C63742BCB,"Alma 39-42 - ""my son, go thy way""",,True,,2020-12-04 23:51:13,,,,https://mcdn.podbean.com/mf/web/rcxfx5/29_-_alma_39-4273ryx.mp3,Scripture Study Project,,15720,1,32369808,,URL,The Scripture Study Project,,2020-07-27 07:21:15,Podcast,,1735000,3689945473,,Zach and Krista
2022-01-04 02:36:37,FA90A27C9FE84E6F,"Alma 43-52 - ""preparations for war""",,True,,2020-12-05 01:00:39,,,,https://mcdn.podbean.com/mf/web/25igpf/30_-_alma_43-52bqi8x.mp3,Scripture Study Project,,15722,1,32014334,,URL,The Scripture Study Project,,2020-08-03 04:37:13,Podcast,,1784000,3689949639,,Zach and Krista
2022-01-04 02:36:37,B8A7C9FC3E8CBBE7,"Alma 53-63 - ""two thousand sons""",,True,,2020-08-22 15:21:18,True,,,https://mcdn.podbean.com/mf/web/nryv7y/31_-_alma_54-62a533x.mp3,Scripture Study Project,,15724,,33034050,,URL,The Scripture Study Project,,2020-08-10 04:00:00,Podcast,,1756000,3680932878,,Zach and Krista
2022-01-04 02:36:37,509A6B0D52E1F423,"Helaman 1-6 - ""serious difficulty""",,True,,2020-08-27 13:19:23,True,,,https://mcdn.podbean.com/mf/web/vsbu2z/32_-_Helaman_1-69p1by.mp3,Scripture Study Project,,15726,,31489058,,URL,The Scripture Study Project,,2020-08-16 22:40:07,Podcast,,1713000,3681357563,,Zach and Krista
2022-01-04 02:36:37,34B65846C09DE393,"Helaman 7-12 - ""remember him""",,True,,2020-08-26 15:32:40,True,,,https://mcdn.podbean.com/mf/web/xc4sn5/33_-_Helaman_7-1287vrf.mp3,Scripture Study Project,,15728,,28188577,,URL,The Scripture Study Project,,2020-08-24 05:12:44,Podcast,,1710000,3681279160,,Zach and Krista
2022-01-04 02:36:37,C82DD0A9AC1422A6,"Helaman 13-16 - ""got upon the wall""",,True,,2020-12-07 23:10:46,,,,https://mcdn.podbean.com/mf/web/cwzsxg/34_-_Helaman_13-167hd29.mp3,Scripture Study Project,,15730,1,29238667,,URL,The Scripture Study Project,,2020-08-31 03:03:47,Podcast,,1569000,3690202246,,Zach and Krista
2022-01-04 02:36:37,DF22C8C829C14D7F,"3 Nephi 1-7 - ""Lift up your head and be of good cheer""",,True,,2020-12-08 18:57:27,,,,https://mcdn.podbean.com/mf/web/texkad/35_-_3_Nephi_1-76twh2.mp3,Scripture Study Project,,15732,1,26876780,,URL,The Scripture Study Project,,2020-09-07 03:11:16,Podcast,,1511000,3690273447,,Zach and Krista
2022-01-04 02:36:37,947208E6E33AC4BB,"3 Nephi 8-11 - ""they heard a voice""",,True,,2020-12-08 19:43:09,,,,https://mcdn.podbean.com/mf/web/8u5eau/36_-_3_Nephi_8-11aig5n.mp3,Scripture Study Project,,15734,1,28479730,,URL,The Scripture Study Project,,2020-09-14 01:23:05,Podcast,,1579000,3690276189,,Zach and Krista
2022-01-04 02:36:37,6DD691574E2CC9FD,"3 Nephi 12-16 - ""all things had become new""",,True,,2020-12-09 14:53:10,,,,https://mcdn.podbean.com/mf/web/25jjuc/37_-_3_Nephi_12-168hxgm.mp3,Scripture Study Project,,15736,1,31396393,,URL,The Scripture Study Project,,2020-09-21 00:00:00,Podcast,,1792000,3690345190,,Zach and Krista
2022-01-04 02:36:37,E08C4A453C729777,"3 Nephi 17-19 - ""tarry a little longer""",,True,,2020-12-09 19:30:57,,,,https://mcdn.podbean.com/mf/web/x6522i/38_-_3_Nephi_17-19667mw.mp3,Scripture Study Project,,15738,1,31902652,,URL,The Scripture Study Project,,2020-09-28 04:01:17,Podcast,,1770000,3690361857,,Zach and Krista
2022-01-04 02:36:37,58D7BB5671112E16,"3 Nephi 20-26 - ""my people, O house of Israel""",,True,,,True,,,https://mcdn.podbean.com/mf/web/z25hky/39_-_3_Nephi_20-26b13kg.mp3,Scripture Study Project,,15740,,32129084,,URL,The Scripture Study Project,,2020-10-12 02:53:04,Podcast,,1792000,,,Zach and Krista
2022-01-04 02:36:37,5600735E61961910,"3 Nephi 27 - 4 Nephi - ""What is it that ye desire of me""",,True,,2020-12-11 16:44:00,,,,https://mcdn.podbean.com/mf/web/uyph9a/40_-_3_Nephi_27-4_Nephi840td.mp3,Scripture Study Project,,15742,1,31188905,,URL,The Scripture Study Project,,2020-10-19 02:05:31,Podcast,,1794000,3690524640,,Zach and Krista
