date_added,persistent_id,name,kind,podcast,album_artist,bitrate,play_date_utc,unplayed,comments,location,sort_album,file_folder_count,track_id,size,artwork_count,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist,composer
2022-01-04 02:36:34,280EE35D6C195A54,Ep. 137: This Life Skill Can Save You From Anything w/ Ryan Stewman: Ex Con Turned Millionaire Entrepreneur,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._137_-_This_Life_Skill_Can_Save_You_From_Anything_with_Ryan_Stewman_-_Ex_Con_Turned_Millionaire_Entrepreneur.mp3?dest-id=246682,SuperHuman Academy Podcast,,13360,30141694,,,URL,The SuperHuman Academy Podcast,,2017-09-05 15:01:13,Podcast,,2307000,,,,
2022-01-04 02:36:34,87EE16E57CFBAD7C,Ep. 138: The Neuroscience of Fear & How To Channel It For Good w/ Akshay Nanavati,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._138_-_The_Neuroscience_of_Fear__How_To_Channel_It_For_Good_with_Akshay_Nanavati.mp3?dest-id=246682,SuperHuman Academy Podcast,,13362,40459737,,,URL,The SuperHuman Academy Podcast,,2017-09-12 10:00:00,Podcast,,2714000,,,,
2022-01-04 02:36:34,3D181CE827B6D3BF,Ep. 139: How To Re-Wire Your Brain For Optimal Fitness & Nutrition w/ Drew Logan,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._139_-_How_To_Re-Wire_Your_Brain_For_Optimal_Fitness__Nutrition_with_Drew_Logan.mp3?dest-id=246682,SuperHuman Academy Podcast,,13364,33315392,,,URL,The SuperHuman Academy Podcast,,2017-09-19 10:00:00,Podcast,,2571000,,,,
2022-01-04 02:36:34,F786EC9BF9F96979,"Ep. 140: How & Why To Become A More Creative, Better Writer w/ Grant Faulkner of National Novel Writing Month",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._140_-_How__Why_To_Become_A_More_Creative_Better_Writer_with_Grant_Faulkner_of_National_Novel_Writing_Month.mp3?dest-id=246682,SuperHuman Academy Podcast,,13366,28493069,,,URL,The SuperHuman Academy Podcast,,2017-09-26 10:00:00,Podcast,,2342000,,,,
2022-01-04 02:36:34,0EB3791F5F3D5E97,"Ep. 141: When & How To ""Pivot"" Your Life Path w/ Coach & Author Jenny Blake",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._141_-_When__How_To_Pivot_Your_Life_Path_with_Coach__Author_Jenny_Blake.mp3?dest-id=246682,SuperHuman Academy Podcast,,13368,37713153,,,URL,The SuperHuman Academy Podcast,,2017-10-03 10:00:00,Podcast,,2938000,,,,
2022-01-04 02:36:34,F622255FBBA52BD4,"Ep. 142: Yes, You Can Alter Your Genes w/ Dr. Sharad Paul, Genetics & Skin Cancer Expert",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._142_-_Yes_You_Can_Alter_Your_Genes_with_Dr._Sharad_Paul_Genetics__Skin_Cancer_Expert.mp3?dest-id=246682,SuperHuman Academy Podcast,,13370,41502642,,,URL,The SuperHuman Academy Podcast,,2017-10-10 10:00:00,Podcast,,3254000,,,,
2022-01-04 02:36:34,AF6A249CBAFDDD59,Ep. 143: Samir Becic Shares What's Wrong With The Way We Work Out,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._143_-_Samir_Becic_Shares_Whats_Wrong_With_The_Way_We_Work_Out.mp3?dest-id=246682,SuperHuman Academy Podcast,,13372,66884845,,,URL,The SuperHuman Academy Podcast,,2017-10-17 10:00:00,Podcast,,2684000,,,,
2022-01-04 02:36:34,9743DFC2E0A5F5B1,Ep. 144: How Behavioral Science Can Improve Your Life: Jon Levy Returns,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._144_-_How_Behavioral_Science_Can_Improve_Your_Life_-_Jon_Levy_Returns.mp3?dest-id=246682,SuperHuman Academy Podcast,,13374,35591552,,,URL,The SuperHuman Academy Podcast,,2017-10-24 10:00:00,Podcast,,2761000,,,,
2022-01-04 02:36:34,079C33ECE8475128,Ep. 145: Separating The Gold From The Garbage: We Talk Supplements w/ Industry Insider Ben Harris,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._145_-_Separating_The_Gold_From_The_Garbage_-_We_Talk_Supplements_with_Industry_Insider_Ben_Harris.mp3?dest-id=246682,SuperHuman Academy Podcast,,13376,31833641,,,URL,The SuperHuman Academy Podcast,,2017-10-31 11:00:00,Podcast,,2448000,,,,
2022-01-04 02:36:34,4EF5F909B80F09BA,Ep. 146: Developing a Healthy Relationship With Food: Daniel Thomas Hind,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._146_-_Developing_a_Healthy_Relationship_With_Food_-_Daniel_Thomas_Hind.mp3?dest-id=246682,SuperHuman Academy Podcast,,13378,42221885,,,URL,The SuperHuman Academy Podcast,,2017-11-07 11:00:00,Podcast,,3314000,,,,
