date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2022-01-04 02:36:34,56ECCC6AE7DE80DA,The Susan Powell Case Files | Prelude,,True,,2020-03-18 20:51:47,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/9d2506cd-7d49-4c7d-be54-21d0644f69e4.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,14320,6957766,,,URL,Cold,Susan Powell Case Files | Prelude,,2018-11-08 00:47:23,Podcast,,434000,3667387907,,
2022-01-04 02:36:34,DF900B5BD73B2043,The Susan Powell Case Files | To All the Girls I've Loved Before | 1,,True,,2020-03-20 21:26:00,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/c1fb3bc0-abb6-422b-932e-214636ff0b6b.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,14322,59328888,,,URL,Cold,Susan Powell Case Files | To All the Girls I've Loved Before | 1,,2018-11-14 05:35:48,Podcast,,3708000,3667562760,,
2022-01-04 02:36:34,FD52045B1A3B81E7,"The Susan Powell Case Files | Wake Up, Little Susie | 2",,True,,2020-03-26 23:53:35,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/a7dd9505-653a-49d7-8112-8c8458788194.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,14324,61983346,,,URL,Cold,"Susan Powell Case Files | Wake Up, Little Susie | 2",,2018-11-21 05:00:00,Podcast,,3873000,3668090015,,
2022-01-04 02:36:34,3E9529240985AAC9,The Susan Powell Case Files | Faith and Finances | 3,,True,,2020-04-24 22:25:02,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/0113412f-0c75-42ba-a8f0-9f2fd9cbdd69.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,14326,56047072,,,URL,Cold,Susan Powell Case Files | Faith and Finances | 3,,2018-11-28 09:00:00,Podcast,,3502000,3670590302,,
2022-01-04 02:36:34,BA0C51A80B6B8E85,The Susan Powell Case Files | Find Susan | 4,,True,,2020-04-02 01:08:36,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/a7a91470-06cf-4bc1-bae9-9f7369cd5579.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,14328,58371343,,,URL,Cold,Susan Powell Case Files | Find Susan | 4,,2018-12-05 09:00:00,Podcast,,3648000,3668612916,,
2022-11-27 02:10:36,DFF836556B8E7E98,The Susan Powell Case Files | 10 Minutes | 5,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/fedae422-ef33-4df8-807e-79267dcc8a6b.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,37844,59534106,,,URL,Cold,Susan Powell Case Files | 10 Minutes | 5,,2018-12-12 05:00:00,Podcast,,3720000,,,
2022-11-27 02:10:36,9A074FD83F0D5982,The Susan Powell Case Files | Josh in the Wind | 6,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/2a50fdff-9474-4cc2-8daf-c8e0e5be4921.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,37846,59055542,,,URL,Cold,Susan Powell Case Files | Josh in the Wind | 6,,2018-12-19 05:00:00,Podcast,,3690000,,,
2022-11-27 02:10:36,351F76397ACE6769,The Susan Powell Case Files | Scouring the Desert | 7,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/1bd175a9-ecfb-4316-a776-d4d42f6be9c8.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,37848,55861916,,,URL,Cold,Susan Powell Case Files | Scouring the Desert | 7,,2018-12-26 09:00:00,Podcast,,3491000,,,
2022-11-27 02:10:36,56D793B7DBF7B7A7,The Susan Powell Case Files | Wearing a Wire | 8,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/3c91cddd-01de-4fcf-bf6a-fd6215bd3cc1.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,37850,56377678,,,URL,Cold,Susan Powell Case Files | Wearing a Wire | 8,,2019-01-02 13:10:46,Podcast,,3523000,,,
2022-11-27 02:10:36,43C65561726B8A67,The Susan Powell Case Files | The Light of Seattle | 9,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/86b5afb3-db59-46ef-aec0-7336f8bbf2db.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,37852,60871575,,,URL,Cold,Susan Powell Case Files | The Light of Seattle | 9,,2019-01-09 07:01:00,Podcast,,3804000,,,
2022-11-27 02:10:36,F1A2D10F3141B8AD,The Susan Powell Case Files | Charlie | 10,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/a0685e03-fdc6-48a8-b85f-9e705105ba8f.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,37854,49299121,,,URL,Cold,Susan Powell Case Files | Charlie | 10,,2019-01-16 05:00:00,Podcast,,3081000,,,
2022-11-27 02:10:36,9A1BC74491A392EE,The Susan Powell Case Files | Operation Tsunami | 11,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/c1762e56-1835-4454-8f7d-53f18d6542ef.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,37856,54220591,,,URL,Cold,Susan Powell Case Files | Operation Tsunami | 11,,2019-01-23 05:00:00,Podcast,,3388000,,,
2022-11-27 02:10:36,1C6CE502810F36B8,The Susan Powell Case Files | Topaz Mountain | 12,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/47581482-19c4-46ad-ad80-e7561bf19c5e.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,37858,57931232,,,URL,Cold,Susan Powell Case Files | Topaz Mountain | 12,,2019-01-30 05:00:00,Podcast,,3620000,,,
2022-11-27 02:10:36,A1C9CD9EED44905A,The Susan Powell Case Files | 4theKidzz | 13,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/bc5f585a-3669-4fff-8f25-73005f74fdca.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,37860,55208228,,,URL,Cold,Susan Powell Case Files | 4theKidzz | 13,,2019-02-06 07:01:00,Podcast,,3450000,,,
2022-11-27 02:10:36,4C11517AAAC6517B,The Susan Powell Case Files | Killing Susan's Sons | 14,,True,,,True,https://dts.podtrac.com/redirect.mp3/chrt.fm/track/9EE2G/pdst.fm/e/rss.art19.com/episodes/radiopublic/iflK1omSrLPRbPL7T-z38sBn2XLqJysy/556c61e7-49e6-4e8e-acac-ac553af6221f.mp3?rss_browser=BAhJIgtpVHVuZXMGOgZFVA==--0f9dd97c834207796ab75d38d0005f63a0b14164,,37862,56289906,,,URL,Cold,Susan Powell Case Files | Killing Susan's Sons | 14,,2019-02-13 09:00:00,Podcast,,3518000,,,
