date_added,persistent_id,name,kind,podcast,album_artist,bitrate,play_date_utc,unplayed,track_number,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,work,play_date,year,artist
2022-01-04 02:36:37,7149F29BDC8FF620,#282: pre-commit framework,,True,,,,True,,https://talkpython.fm/episodes/download/282/pre-commit-framework.mp3,,15420,,30195925,,,URL,Talk Python To Me,,2020-09-17 08:00:00,Podcast,,3573000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,48907E8899D3FDD5,"#283: Web scraping, the 2020 edition",,True,,,,True,,https://talkpython.fm/episodes/download/283/web-scraping-the-2020-edition.mp3,,15422,,24017851,,,URL,Talk Python To Me,,2020-09-23 08:00:00,Podcast,,2914000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,53204269D7B8A492,#284: Modern and fast APIs with FastAPI,,True,,,2020-11-16 19:39:51,,,https://talkpython.fm/episodes/download/284/modern-and-fast-apis-with-fastapi.mp3,,15424,1,32756377,,,URL,Talk Python To Me,,2020-10-04 08:00:00,Podcast,,3966000,,3688375191,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,AC51171B5332996E,#285: Dask as a Platform Service with Coiled,,True,,,,True,,https://talkpython.fm/episodes/download/285/dask-as-a-platform-service-with-coiled.mp3,,15426,,35333687,,,URL,Talk Python To Me,,2020-10-09 08:00:00,Podcast,,4264000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,8F6EF6EE6A5FEA89,#286: Python and ML at NASA Jet Propulsion Laboratory (JPL),,True,,,,True,,https://talkpython.fm/episodes/download/286/python-and-ml-at-nasa-jet-propulsion-laboratory-jpl.mp3,,15428,,34906691,,,URL,Talk Python To Me,,2020-10-16 08:00:00,Podcast,,4052000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,0CBC49D1855EFCA2,"#287: Testing without dependencies, mocking in Python",,True,,,,True,,https://talkpython.fm/episodes/download/287/testing-without-dependencies-mocking-in-python.mp3,,15430,,29266450,,,URL,Talk Python To Me,,2020-10-21 08:00:00,Podcast,,3809000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,3986383D88B285F3,#288: 10 tips to move from Excel to Python,,True,,,,True,,https://talkpython.fm/episodes/download/288/10-tips-to-move-from-excel-to-python.mp3,,15432,,31263309,,,URL,Talk Python To Me,,2020-10-31 08:00:00,Podcast,,3803000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,43CE89287ADF3E98,#289: Discovering exoplanets with Python,,True,,,,True,,https://talkpython.fm/episodes/download/289/discovering-exoplanets-with-python.mp3,,15434,,23639287,,,URL,Talk Python To Me,,2020-11-09 08:00:00,Podcast,,2846000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,18E104898185C520,#290: Side Hustles for Data Scientists,,True,,,,True,,https://talkpython.fm/episodes/download/290/side-hustles-for-data-scientists.mp3,,15436,,32486057,,,URL,Talk Python To Me,,2020-11-13 08:00:00,Podcast,,4084000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,2E8FA875595090F8,#291: Operational Resilience with Pyomo,,True,,,,True,,https://talkpython.fm/episodes/download/291/operational-resilience-with-pyomo.mp3,,15438,,30509026,,,URL,Talk Python To Me,,2020-11-22 08:00:00,Podcast,,3576000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,CF4E04B2B5FE40CD,#292: Pythonic identity (auth in Python ecosystem),,True,,,,True,,https://talkpython.fm/episodes/download/292/pythonic-identity-auth-in-python-ecosystem.mp3,,15440,,31892582,,,URL,Talk Python To Me,,2020-11-26 08:00:00,Podcast,,3901000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,ECB09DD9D0BC9FF5,#293: Learning how to learn as a developer,,True,,,,True,,https://talkpython.fm/episodes/download/293/learning-how-to-learn-as-a-developer.mp3,,15442,,26840614,,,URL,Talk Python To Me,,2020-12-01 08:00:00,Podcast,,3607000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,1B47E57DF798E4FE,#294: oso authorizes Python,,True,,,2021-01-23 19:29:11,,,https://talkpython.fm/episodes/download/294/oso-authorizes-python.mp3,,15444,1,24880034,,,URL,Talk Python To Me,,2020-12-07 08:00:00,Podcast,,3087000,,3694249751,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,7885CFB5115FDFCF,#295: GIS + Python,,True,,,,True,,https://talkpython.fm/episodes/download/295/gis-python.mp3,,15446,,34478109,,,URL,Talk Python To Me,,2020-12-18 08:00:00,Podcast,,3420000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,D927DB2F34FA52DF,#296: Python in F1 racing,,True,,,2021-03-03 14:43:27,,,https://talkpython.fm/episodes/download/296/python-in-f1-racing.mp3,,15448,1,39425545,,,URL,Talk Python To Me,,2020-12-23 08:00:00,Podcast,,3914000,,3697602207,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,52677EDA05F8FF26,#297: Python year in review (2020 edition),,True,,,,True,,https://talkpython.fm/episodes/download/297/python-year-in-review-2020-edition.mp3,,15450,,42505999,,,URL,Talk Python To Me,,2020-12-28 08:00:00,Podcast,,4223000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,3C86F96F212FF9B1,#298: Building ML teams and finding ML jobs,,True,,,,True,,https://talkpython.fm/episodes/download/298/building-ml-teams-and-finding-ml-jobs.mp3,,15452,,33984665,,,URL,Talk Python To Me,,2021-01-11 08:00:00,Podcast,,3370000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,0CD7883007750FB5,#299: Personal search engine with datasette and dogsheep,,True,,,2021-03-20 17:42:05,,,https://talkpython.fm/episodes/download/299/personal-search-engine-with-datasette-and-dogsheep.mp3,,15454,1,37305625,,,URL,Talk Python To Me,,2021-01-17 08:00:00,Podcast,,3702000,,3699085325,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,73BFB2267667F47C,#300: Building a data science startup (panel),,True,,,2021-04-07 18:19:26,,,https://talkpython.fm/episodes/download/300/building-a-data-science-startup-panel.mp3,,15456,1,40098370,,,URL,Talk Python To Me,,2021-01-22 08:00:00,Podcast,,3982000,,3700642766,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,955CC8F37347FC8F,#301: Deploying and running Django web apps in 2021,,True,,,2021-04-13 14:53:49,,,https://talkpython.fm/episodes/download/301/deploying-and-running-django-web-apps-in-2021.mp3,,15458,1,41415052,,,URL,Talk Python To Me,,2021-01-28 08:00:00,Podcast,,4114000,,3701148829,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,0578B091834A9C0C,#302: The Data Engineering Landscape in 2021,,True,,,,True,,https://talkpython.fm/episodes/download/302/the-data-engineering-landscape-in-2021.mp3,,15460,,39007496,,,URL,Talk Python To Me,,2021-02-04 08:00:00,Podcast,,3873000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,8BAC6F8EBD892EF8,#303: Python for Astronomy with Dr. Becky,,True,,,,True,,https://talkpython.fm/episodes/download/303/python-for-astronomy-with-dr.-becky.mp3,,15462,,46307885,,,URL,Talk Python To Me,,2021-02-12 08:00:00,Podcast,,3836000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,C9091DCBBCA53B57,#304: asyncio all the things with Omnilib,,True,,,,True,,https://talkpython.fm/episodes/download/304/asyncio-all-the-things-with-omnilib.mp3,,15464,,44077912,,,URL,Talk Python To Me,,2021-02-21 08:00:00,Podcast,,3650000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,CC3910389B9A128B,#305: Python community at Python Discord,,True,,,,True,,https://talkpython.fm/episodes/download/305/python-community-at-python-discord.mp3,,15466,,44691684,,,URL,Talk Python To Me,,2021-03-01 08:00:00,Podcast,,3701000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,B844F3E89650831D,#306: Scaling Python and Jupyter with ZeroMQ,,True,,,2021-07-16 22:58:32,,,https://talkpython.fm/episodes/download/306/scaling-python-and-jupyter-with-zeromq.mp3,,15468,1,47771211,,,URL,Talk Python To Me,,2021-03-05 08:00:00,Podcast,,3958000,,3709299512,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,2FE0CE662D02FA5D,"#307: Python from 1994 to 2021, my how you've grown!",,True,,,,True,,https://talkpython.fm/episodes/download/307/python-from-1994-to-2021-my-how-youve-grown.mp3,,15470,,52067317,,,URL,Talk Python To Me,,2021-03-11 08:00:00,Podcast,,4316000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,A0DE8B2FED9CAA15,#308: Docker for Python Developers (2021 Edition),,True,,,2021-07-21 18:13:28,,,https://talkpython.fm/episodes/download/308/docker-for-python-developers-2021-edition.mp3,,15472,1,57473720,,,URL,Talk Python To Me,,2021-03-20 08:00:00,Podcast,,4085000,,3709714408,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,BA785B5ADE5D37D8,#309: What ML Can Teach Us About Life: 7 Lessons,,True,,,,True,,https://talkpython.fm/episodes/download/309/what-ml-can-teach-us-about-life-7-lessons.mp3,,15474,,47099136,,,URL,Talk Python To Me,,2021-03-26 08:00:00,Podcast,,3344000,,,,Michael Kennedy (@mkennedy)
2021-12-30 22:54:10,CB2CE90D0A872C10,#310 AMA (Ask Me Anything) with Michael,MPEG audio file,True,Talk Python To Me,112,,True,,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Talk Python To Me/#310 AMA (Ask Me Anything) with Mich 1.mp3,4,5038,,52428359,1,1,File,Talk Python To Me,2021-04-12 21:15:42,2021-04-02 08:00:00,Podcast,44100,3724146,Python,,2021,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,71E295A7F3265B96,#311: Get inside the .git folder,,True,,,2021-07-24 19:38:19,,,https://talkpython.fm/episodes/download/311/get-inside-the-.git-folder.mp3,,15476,1,60980172,,,URL,Talk Python To Me,,2021-04-08 08:00:00,Podcast,,4336000,,3709978699,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,7ADC903286F98A96,#312: Python Apps that Scale to Billions of Users,,True,,,,True,,https://talkpython.fm/episodes/download/312/python-apps-that-scale-to-billions-of-users.mp3,,15478,,65088257,,,URL,Talk Python To Me,,2021-04-18 08:00:00,Podcast,,4629000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,C23C27E74EC36551,#313: Automate your data exchange with PyDantic,,True,,,,True,,https://talkpython.fm/episodes/download/313/automate-your-data-exchange-with-pydantic.mp3,,15480,,51486244,,,URL,Talk Python To Me,,2021-04-22 08:00:00,Podcast,,3658000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,4A6472D0EAFBDD32,#314: Ask us about modern Python projects and tools,,True,,,,True,,https://talkpython.fm/episodes/download/314/ask-us-about-modern-python-projects-and-tools.mp3,,15482,,55913219,,,URL,Talk Python To Me,,2021-04-30 08:00:00,Podcast,,3880000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,E84342DC77CE0D31,#315: Awesome FastAPI extensions and add ons,,True,,,,True,,https://talkpython.fm/episodes/download/315/awesome-fastapi-extensions-and-add-ons.mp3,,15484,,57265624,,,URL,Talk Python To Me,,2021-05-07 08:00:00,Podcast,,4070000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,EEFC81E3D6860759,#316: Flask 2.0,,True,,,2021-05-27 20:06:37,,,https://talkpython.fm/episodes/download/316/flask-2.0.mp3,,15486,1,48695080,,,URL,Talk Python To Me,,2021-05-14 08:00:00,Podcast,,3458000,,3704969197,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,176D51FBECC046ED,#317: Python at the US Federal Election Commission,,True,,,,True,,https://talkpython.fm/episodes/download/317/python-at-the-us-federal-election-commission.mp3,,15488,,44512075,,,URL,Talk Python To Me,,2021-05-21 08:00:00,Podcast,,3159000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,DF641F31E74FE319,#318: Measuring your ML impact with CodeCarbon,,True,,,,True,,https://talkpython.fm/episodes/download/318/measuring-your-ml-impact-with-codecarbon.mp3,,15490,,57155546,,,URL,Talk Python To Me,,2021-05-28 08:00:00,Podcast,,4063000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,CB1FB2121C2699A3,#319: Typosquatting and Supply Chains Vulnerabilities,,True,,,,True,,https://talkpython.fm/episodes/download/319/typosquatting-and-supply-chains-vulnerabilities.mp3,,15492,,50445793,,,URL,Talk Python To Me,,2021-06-06 08:00:00,Podcast,,3583000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,920A268EBEB67483,#320: Python in the Electrical Energy Sector,,True,,,2021-10-09 19:10:22,,,https://talkpython.fm/episodes/download/320/python-in-the-electrical-energy-sector.mp3,,15494,1,57411177,,,URL,Talk Python To Me,,2021-06-12 08:00:00,Podcast,,4081000,,3716629822,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,9FE0D2EF0D713F48,"#321: HTMX - Clean, Dynamic HTML Pages",,True,,,2021-10-03 18:08:06,,,https://talkpython.fm/episodes/download/321/htmx-clean-dynamic-html-pages.mp3,,15496,2,61114395,,,URL,Talk Python To Me,,2021-06-19 08:00:00,Podcast,,4345000,,3716107686,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,D8FF06F9968D7C0F,#322: A path into data science,,True,,,2021-10-02 00:56:23,,,https://talkpython.fm/episodes/download/322/a-path-into-data-science.mp3,,15498,1,50628627,,,URL,Talk Python To Me,,2021-06-25 08:00:00,Podcast,,3596000,,3715959383,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,CC93FEA88B4C91C2,#323: Best practices for Docker in production,,True,,,,True,,https://talkpython.fm/episodes/download/323/best-practices-for-docker-in-production.mp3,,15500,,59736390,,,URL,Talk Python To Me,,2021-07-03 08:00:00,Podcast,,4247000,,,,Michael Kennedy (@mkennedy)
2022-01-04 02:36:37,70881C224D406709,#324: Gatorade-powered Python APIs,,True,,,,True,,https://talkpython.fm/episodes/download/324/gatorade-powered-python-apis.mp3,,15502,,61081111,,,URL,Talk Python To Me,,2021-07-09 08:00:00,Podcast,,4343000,,,,Michael Kennedy (@mkennedy)
