date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,sort_album,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist,composer
2021-12-30 22:58:16,A766B73E53F476D7,0237 Ether 12 P2,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-10-29T12_17_10-07_00.mp3?_=1605323593.15150662,Book of Mormon: Another Testament of Jesus Christ,,6418,,26629679,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-10-29 19:17:10,Podcast,,2214000,,,,
2021-12-30 22:58:16,3F27D7D70A9D75E5,0238 Ether 13,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-11-01T18_54_45-08_00.mp3?_=1605320888.15156721,Book of Mormon: Another Testament of Jesus Christ,,6420,,30245982,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-11-02 02:54:45,Podcast,,2440000,,,,
2021-12-30 22:58:16,E34186922EF41FF4,0239 Ether 14,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-11-02T04_22_49-08_00.mp3?_=1606085402.15157477,Book of Mormon: Another Testament of Jesus Christ,,6422,,17180233,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-11-02 12:22:49,Podcast,,1407000,,,,
2021-12-30 22:58:16,C58046ED9FA966F0,0240 Ether 15,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-11-03T11_54_22-08_00.mp3?_=1606698658.15160319,Book of Mormon: Another Testament of Jesus Christ,,6424,,24648597,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-11-03 19:54:22,Podcast,,2014000,,,,
2021-12-30 22:58:16,E44385A8594A6F57,0241 Moroni 1,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-11-05T14_17_10-08_00.mp3?_=1606190333.15164423,Book of Mormon: Another Testament of Jesus Christ,,6426,,17180541,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-11-05 22:17:10,Podcast,,1292000,,,,
2021-12-30 22:58:16,662055069DF93986,0242 Moroni 2,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-11-06T09_07_37-08_00.mp3?_=1606274311.15165774,Book of Mormon: Another Testament of Jesus Christ,,6428,,10551331,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-11-06 17:07:37,Podcast,,832000,,,,
2021-12-30 22:58:16,4E0DE4F158FD7E4F,0243 Moroni 3,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-11-07T13_27_49-08_00.mp3?_=1606274287.15167708,Book of Mormon: Another Testament of Jesus Christ,,6430,,13301495,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-11-07 21:27:49,Podcast,,1033000,,,,
2021-12-30 22:58:16,A136B854C154C15E,0244 Moroni 4,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-11-08T15_44_59-08_00.mp3?_=1606275450.15169661,Book of Mormon: Another Testament of Jesus Christ,,6432,,26788679,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-11-08 23:44:59,Podcast,,2104000,,,,
2021-12-30 22:58:16,F9E0041C36572801,0245 Moroni 5,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-11-10T05_11_47-08_00.mp3?_=1606698633.15173296,Book of Mormon: Another Testament of Jesus Christ,,6434,,10271532,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-11-10 13:11:47,Podcast,,789000,,,,
2021-12-30 22:58:16,9BEEE1FEB995BA0B,0246 Moroni 6,,True,,,True,https://mstroud.podomatic.com/enclosure/2020-11-12T16_31_09-08_00.mp3?_=1606698853.15178579,Book of Mormon: Another Testament of Jesus Christ,,6436,,15861875,,,URL,The Book of Mormon: Another Testament of Jesus Christ,,2020-11-13 00:31:09,Podcast,,1198000,,,,
