date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,track_id,play_count,size,artwork_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2022-05-21 23:04:05,2AABDF19FFEE6FC2,Doctrine & Covenants 94-97 Part 2 : Dr. Susan Easton Black,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9095911-doctrine-covenants-94-97-part-2-dr-susan-easton-black.mp3,17616,,37181544,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-29 00:00:00,Podcast,,3093000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,C9AFADD8102B80AB,Doctrine & Covenants 94-97 : followHIM Favorites with Dr. Susan Easton Black,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9099560-doctrine-covenants-94-97-followhim-favorites-with-dr-susan-easton-black.mp3,17618,,4291942,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-08-29 12:00:00,Podcast,,352000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,09A13040EA8165A1,Doctrine & Covenants 98-101 Part 1 : Sherilyn Farnes,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9132687-doctrine-covenants-98-101-part-1-sherilyn-farnes.mp3,17620,,81733868,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-09-03 04:00:00,Podcast,,3403000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,5EE78F56393A6F47,Doctrine & Covenants 98-101 Part 2 : Sherilyn Farnes,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9132829-doctrine-covenants-98-101-part-2-sherilyn-farnes.mp3,17622,,101256742,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-09-04 23:00:00,Podcast,,4217000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,3FAFF4225E571457,Doctrine & Covenants 98-101 : followHIM Favorites with Sherilyn Farnes,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9140913-doctrine-covenants-98-101-followhim-favorites-with-sherilyn-farnes.mp3,17624,,8909647,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-09-05 12:00:00,Podcast,,368000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,BDF8BFD5BB91071A,Doctrine & Covenants 102-105 Part 1 : Dr. Scott Woodward,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9150255-doctrine-covenants-102-105-part-1-dr-scott-woodward.mp3,17626,,88338004,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-09-11 00:00:00,Podcast,,3679000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,D20633C1E0BC630F,Doctrine & Covenants 102-105 Part 2 : Dr. Scott Woodward,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9158485-doctrine-covenants-102-105-part-2-dr-scott-woodward.mp3,17628,,115997289,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-09-12 00:00:00,Podcast,,4832000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,F0100919E375E4FC,Doctrine & Covenants 102-105 : follow HIM Favorites with Dr. Scott Woodward,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9159010-doctrine-covenants-102-105-follow-him-favorites-with-dr-scott-woodward.mp3,17630,,13997892,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-09-12 12:00:00,Podcast,,580000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,D19914FBB96CAD0C,Doctrine & Covenants 106-108 Part 1 : Dr. Robert L. Millet,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9213514-doctrine-covenants-106-108-part-1-dr-robert-l-millet.mp3,17632,,88182867,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-09-18 00:00:00,Podcast,,3673000,,,Hank Smith & John Bytheway
2022-05-21 23:04:05,426DBD89757B54C7,Doctrine & Covenants 106-108 Part 2 : Dr. Robert L. Millet,,True,,,True,https://chrt.fm/track/534B95/www.buzzsprout.com/1558370/9213529-doctrine-covenants-106-108-part-2-dr-robert-l-millet.mp3,17634,,89859928,,URL,"Follow Him: A Come, Follow Me Podcast",,,2021-09-18 23:00:00,Podcast,,3743000,,,Hank Smith & John Bytheway
