date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2021-12-30 22:58:16,8FF749F119CF74C4,#132 Algorithms as objects,,True,,,True,https://pythonbytes.fm/episodes/download/132/algorithms-as-objects.mp3,,6944,,29194220,,,URL,Python Bytes,,2019-05-30 08:00:00,Podcast,,1819000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,958C0656D4068F69,#133 Github sponsors - The model open source has been waiting for?,,True,,,True,https://pythonbytes.fm/episodes/download/133/github-sponsors-the-model-open-source-has-been-waiting-for.mp3,,6946,,26464301,,,URL,Python Bytes,,2019-06-05 08:00:00,Podcast,,1649000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,659FAC3D67C1B653,#134 Python proves Mercury is the closest planet to Earth,,True,,,True,https://pythonbytes.fm/episodes/download/134/python-proves-mercury-is-the-closest-planet-to-earth.mp3,,6948,,20396251,,,URL,Python Bytes,,2019-06-12 08:00:00,Podcast,,1270000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,80D8C8DED9457E09,"#135 macOS deprecates Python 2, will stop shipping it (eventually)",,True,,,True,https://pythonbytes.fm/episodes/download/135/macos-deprecates-python-2-will-stop-shipping-it-eventually.mp3,,6950,,31186949,,,URL,Python Bytes,,2019-06-20 08:00:00,Podcast,,1944000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,DA529E9F71AA6BA4,#136 A Python kernel rather than cleaning the batteries?,,True,,,True,https://pythonbytes.fm/episodes/download/136/a-python-kernel-rather-than-cleaning-the-batteries.mp3,,6952,,29317861,,,URL,Python Bytes,,2019-06-25 08:00:00,Podcast,,1827000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,75854350AE35BCDA,#137 Advanced Python testing and big-time diffs,,True,,,True,https://pythonbytes.fm/episodes/download/137/advanced-python-testing-and-big-time-diffs.mp3,,6954,,27050564,,,URL,Python Bytes,,2019-07-02 08:00:00,Podcast,,1685000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,18401F7CA1A60920,#138 Will PyOxidizer weld shut one of Python's major gaps?,,True,,,True,https://pythonbytes.fm/episodes/download/138/will-pyoxidizer-weld-shut-one-of-pythons-major-gaps.mp3,,6956,,28553100,,,URL,Python Bytes,,2019-07-08 08:00:00,Podcast,,1779000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,52F88A4102DDFBF8,"#139 f""Yes!"" for the f-strings",,True,,,True,https://pythonbytes.fm/episodes/download/139/f-yes-for-the-f-strings.mp3,,6958,,37234150,,,URL,Python Bytes,,2019-07-18 08:00:00,Podcast,,2322000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,DD9321656730341D,#140 Becoming a 10x Developer (sorta),,True,,,True,https://pythonbytes.fm/episodes/download/140/becoming-a-10x-developer-sorta.mp3,,6960,,23753543,,,URL,Python Bytes,,2019-07-23 08:00:00,Podcast,,1479000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,B4FAC9384BE98C3E,#141 Debugging with f-strings coming in Python 3.8,,True,,,True,https://pythonbytes.fm/episodes/download/141/debugging-with-f-strings-coming-in-python-3.8.mp3,,6962,,29610461,,,URL,Python Bytes,,2019-07-29 08:00:00,Podcast,,1845000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,6C747FEA5368B88D,#142 There's a bandit in the Python space,,True,,,True,https://pythonbytes.fm/episodes/download/142/theres-a-bandit-in-the-python-space.mp3,,6964,,29381833,,,URL,Python Bytes,,2019-08-06 08:00:00,Podcast,,1831000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,394AD3D3FE70CFDD,"#143 Spike the robot, powered by Python!",,True,,,True,https://pythonbytes.fm/episodes/download/143/spike-the-robot-powered-by-python.mp3,,6966,,32073977,,,URL,Python Bytes,,2019-08-14 08:00:00,Podcast,,1999000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,4A2665014B1F68EE,#144 Are you mocking me? It won't work!,,True,,,True,https://pythonbytes.fm/episodes/download/144/are-you-mocking-me-it-wont-work.mp3,,6968,,24820883,,,URL,Python Bytes,,2019-08-23 08:00:00,Podcast,,1546000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,D391A02207506214,#145 The Python 3 “Y2K” problem,,True,,,True,https://pythonbytes.fm/episodes/download/145/the-python-3-y2k-problem.mp3,,6970,,33114069,,,URL,Python Bytes,,2019-08-31 08:00:00,Podcast,,2064000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,F54B3EE2529EE714,"#146 Slay the dragon, learn the Python",,True,,,True,https://pythonbytes.fm/episodes/download/146/slay-the-dragon-learn-the-python.mp3,,6972,,22717380,,,URL,Python Bytes,,2019-09-08 08:00:00,Podcast,,1415000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,2392D45C5A61CF3F,#147 Mocking out AWS APIs,,True,,,True,https://pythonbytes.fm/episodes/download/147/mocking-out-aws-apis.mp3,,6974,,24391350,,,URL,Python Bytes,,2019-09-11 08:00:00,Podcast,,1519000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,AC6EC2B31DC5352C,#148 The ASGI revolution is upon us!,,True,,,True,https://pythonbytes.fm/episodes/download/148/the-asgi-revolution-is-upon-us.mp3,,6976,,23168345,,,URL,Python Bytes,,2019-09-18 08:00:00,Podcast,,1443000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,A215F968A2DAF7AB,#149 Python's small object allocator and other memory features,,True,,,True,https://pythonbytes.fm/episodes/download/149/pythons-small-object-allocator-and-other-memory-features.mp3,,6978,,35885637,,,URL,Python Bytes,,2019-09-25 08:00:00,Podcast,,2238000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,EF0A980C7887BAC7,#150 Winning the Python software interview,,True,,,True,https://pythonbytes.fm/episodes/download/150/winning-the-python-software-interview.mp3,,6980,,23073343,,,URL,Python Bytes,,2019-10-05 08:00:00,Podcast,,1437000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,DF65A8ED5732B895,#151 Certified! It works on my machine,,True,,,True,https://pythonbytes.fm/episodes/download/151/certified-it-works-on-my-machine.mp3,,6982,,24831855,,,URL,Python Bytes,,2019-10-10 08:00:00,Podcast,,1547000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,D4141515B0A82173,"#152 You have 35 million lines of Python 2, now what?",,True,,,True,https://pythonbytes.fm/episodes/download/152/you-have-35-million-lines-of-python-2-now-what.mp3,,6984,,25063557,,,URL,Python Bytes,,2019-10-15 08:00:00,Podcast,,1561000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,B1702A606A86C060,#153 Auto format my Python please!,,True,,,True,https://pythonbytes.fm/episodes/download/153/auto-format-my-python-please.mp3,,6986,,25949806,,,URL,Python Bytes,,2019-10-23 08:00:00,Podcast,,1617000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,D31FF3C107459E0A,"#154 Code, frozen in carbon, on display for all",,True,,,True,https://pythonbytes.fm/episodes/download/154/code-frozen-in-carbon-on-display-for-all.mp3,,6988,,31101464,,,URL,Python Bytes,,2019-10-29 08:00:00,Podcast,,1939000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,4508E6270A1DAED1,#155 Guido van Rossum retires,,True,,,True,https://pythonbytes.fm/episodes/download/155/guido-van-rossum-retires.mp3,,6990,,30901943,,,URL,Python Bytes,,2019-11-06 08:00:00,Podcast,,1926000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,29A8C474DCCDD229,#156 All the programming LOLs,,True,,,True,https://pythonbytes.fm/episodes/download/156/all-the-programming-lols.mp3,,6992,,27401675,,,URL,Python Bytes,,2019-11-15 08:00:00,Podcast,,1707000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,9F4A30D1164F6C21,"#157 Oh hai Pandas, hold my hand?",,True,,,True,https://pythonbytes.fm/episodes/download/157/oh-hai-pandas-hold-my-hand.mp3,,6994,,22671462,,,URL,Python Bytes,,2019-11-20 08:00:00,Podcast,,1412000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,B11B1E40A5883A2A,#158 There's a bounty on your open-source bugs!,,True,,,True,https://pythonbytes.fm/episodes/download/158/theres-a-bounty-on-your-open-source-bugs.mp3,,6996,,25116242,,,URL,Python Bytes,,2019-11-27 08:00:00,Podcast,,1565000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,1843935D1190D72B,"#159 Brian's PR is merged, the src will flow",,True,,,True,https://pythonbytes.fm/episodes/download/159/brians-pr-is-merged-the-src-will-flow.mp3,,6998,,32046139,,,URL,Python Bytes,,2019-12-03 08:00:00,Podcast,,1998000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,0ED38D39331F9D78,#160 Your JSON shall be streamed,,True,,,True,https://pythonbytes.fm/episodes/download/160/your-json-shall-be-streamed.mp3,,7000,,27649975,,,URL,Python Bytes,,2019-12-12 08:00:00,Podcast,,1723000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,B71956CFBE0510C7,#161 Sloppy Python can mean fast answers!,,True,,,True,https://pythonbytes.fm/episodes/download/161/sloppy-python-can-mean-fast-answers.mp3,,7002,,29118280,,,URL,Python Bytes,,2019-12-18 08:00:00,Podcast,,1815000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,2F573B76875E0F76,#162 Retrofitting async and await into Django,,True,,,True,https://pythonbytes.fm/episodes/download/162/retrofitting-async-and-await-into-django.mp3,,7004,,22302097,,,URL,Python Bytes,,2020-01-03 08:00:00,Podcast,,1389000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,C9F83B7E381BE785,#163 Meditations on the Zen of Python,,True,,,True,https://pythonbytes.fm/episodes/download/163/meditations-on-the-zen-of-python.mp3,,7006,,22951080,,,URL,Python Bytes,,2020-01-09 08:00:00,Podcast,,1429000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,272533A457018C51,#164 Use type hints to build your next CLI app,,True,,,True,https://pythonbytes.fm/episodes/download/164/use-type-hints-to-build-your-next-cli-app.mp3,,7008,,27956171,,,URL,Python Bytes,,2020-01-16 08:00:00,Podcast,,1742000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,60B36B8BB3417F0E,#165 Ranges as dictionary keys - oh my!,,True,,,True,https://pythonbytes.fm/episodes/download/165/ranges-as-dictionary-keys-oh-my.mp3,,7010,,27690163,,,URL,Python Bytes,,2020-01-21 08:00:00,Podcast,,1725000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,947A1DF02A63052A,#166 Misunderstanding software clocks and time,,True,,,True,https://pythonbytes.fm/episodes/download/166/misunderstanding-software-clocks-and-time.mp3,,7012,,27296392,,,URL,Python Bytes,,2020-01-27 08:00:00,Podcast,,1701000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,328649720D583CF5,#167 Cheating at Kaggle and uWSGI in prod,,True,,,True,https://pythonbytes.fm/episodes/download/167/cheating-at-kaggle-and-uwsgi-in-prod.mp3,,7014,,27448907,,,URL,Python Bytes,,2020-02-03 08:00:00,Podcast,,1710000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,6FCAE4E478D9EB30,#168 Race your donkey car with Python,,True,,,True,https://pythonbytes.fm/episodes/download/168/race-your-donkey-car-with-python.mp3,,7016,,32300051,,,URL,Python Bytes,,2020-02-11 08:00:00,Podcast,,2014000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,6C00283FC57C2DE7,#169 Jupyter Notebooks natively on your iPad,,True,,,True,https://pythonbytes.fm/episodes/download/169/jupyter-notebooks-natively-on-your-ipad.mp3,,7018,,24783342,,,URL,Python Bytes,,2020-02-19 08:00:00,Podcast,,1544000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,35F34C3C43EE95AA,#170 Visualize this: Visualizing Python's visualization ecosystem,,True,,,True,https://pythonbytes.fm/episodes/download/170/visualize-this-visualizing-pythons-visualization-ecosystem.mp3,,7020,,28000929,,,URL,Python Bytes,,2020-02-25 08:00:00,Podcast,,1745000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,4F8D574080341CCA,#171 Chilled out Python decorators with PEP 614,,True,,,True,https://pythonbytes.fm/episodes/download/171/chilled-out-python-decorators-with-pep-614.mp3,,7022,,33269349,,,URL,Python Bytes,,2020-03-05 08:00:00,Podcast,,2074000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,6610D7A8C5E4D86A,#172 Floating high above the web with Helium,,True,,,True,https://pythonbytes.fm/episodes/download/172/floating-high-above-the-web-with-helium.mp3,,7024,,31667200,,,URL,Python Bytes,,2020-03-13 08:00:00,Podcast,,1974000,,,Michael Kennedy (@mkennedy)
2021-12-30 22:58:16,AF27D4F380BCABE4,#173 Your test deserves a fluent flavor,,True,,,True,https://pythonbytes.fm/episodes/download/173/your-test-deserves-a-fluent-flavor.mp3,,7026,,27572426,,,URL,Python Bytes,,2020-03-19 08:00:00,Podcast,,1718000,,,Michael Kennedy (@mkennedy)
