date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,size,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year
2022-01-04 02:36:47,F116DC0C2A80D68F,73: The Invisible Plague,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Episode_73_The_Invisible_Plague.mp3?dest-id=228963,,16228,47822519,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-06-17 14:55:50,Podcast,,2987000,,
2022-01-04 02:36:47,FEE17A8D35C3F995,74: 4 Quick Fixes For Acute Conditions,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/4_Quick_Fixes_For_Acute_Conditions.mp3?dest-id=228963,,16230,52776446,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-06-24 14:24:17,Podcast,,3296000,,
2022-01-04 02:36:47,C769801C37A591E6,75: A Forbidden Medical Treatment,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/A_Forbidden_Medical_Treatment.mp3?dest-id=228963,,16232,45600574,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-07-01 15:24:08,Podcast,,2848000,,
2022-01-04 02:36:47,EE35AB37D607E31F,76: Ripping a Hole In The Universe,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Ripping_a_Hole_in_The_Universe.mp3?dest-id=228963,,16234,49789022,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-07-08 14:14:51,Podcast,,3110000,,
2022-01-04 02:36:47,370F1B419E5F7647,77: Quick Fixes for Fluid Retention and Acute Pain,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Quick_Fixes_for_Fluid_Retention_and_Acute_Pain.mp3?dest-id=228963,,16236,44771610,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-07-15 14:29:43,Podcast,,2796000,,
2022-01-04 02:36:47,A40E56CC640A18EB,78: Instant Relief for Sudden Muscle Cramps,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Instant_Relief_for_Sudden_Muscle_Cramps.mp3?dest-id=228963,,16238,53831594,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-07-22 13:35:52,Podcast,,3362000,,
2022-01-04 02:36:47,15A0EFD14BF795A4,79: The 10 most Dangerous Drugs (Pt. 1),,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/10_Most_Dangerous_Drugs_Pt._1.mp3?dest-id=228963,,16240,54017105,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-07-29 17:19:51,Podcast,,3374000,,
2022-01-04 02:36:47,4F9D35C4B4E1D648,80: The Ten Most Dangerous Drugs (Pt. 2),,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/10_Most_Dangerous_Drugs_Pt._2.mp3?dest-id=228963,,16242,57325607,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-08-04 22:33:31,Podcast,,3581000,,
2022-01-04 02:36:47,558847416B933EFC,81: Immunotherapy for Cancer...Late to the Party!,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Immunotherapy_for_Cancer-_Late_To_The_Party.mp3?dest-id=228963,,16244,56954190,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-08-11 13:51:01,Podcast,,3558000,,
2022-01-04 02:36:47,9C050AE31064B260,82: 20 Protocols That Will Save Your Life,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Ep82_-_20_Protocols_That_Will_Save_Your_Life.mp3?dest-id=228963,,16246,45187102,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-08-19 15:19:29,Podcast,,2822000,,
2022-01-04 02:36:47,1320BD633ED8F2D3,"83: Fats: Killer, or Healer?",,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/Fats-_Killer_or_Healer-.mp3?dest-id=228963,,16248,56243333,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-08-26 15:50:31,Podcast,,3513000,,
