date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,play_count,size,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2022-01-04 02:36:38,96602D6317AB8C71,"Software at Scale 17 - John Egan: CEO, Kintaba",,True,,,True,https://api.substack.com/feed/podcast/35313400/046924fefb524106a0f9389c15eb043d.mp3,,15892,,,,URL,Software at Scale,,2021-04-20 16:05:03,Podcast,,3496000,,,Utsav Shah
2022-01-04 02:36:38,A819E17DB0B9467A,"Software at Scale 18 - Alexander Gallego: CEO, Vectorized",,True,,,True,https://api.substack.com/feed/podcast/35690627/0c41645fbb318976d3b5a29c12c08b96.mp3,,15894,,,,URL,Software at Scale,,2021-04-27 16:32:44,Podcast,,3701000,,,Utsav Shah
2022-01-04 02:36:38,E8CE44213851CBE2,Software at Scale 19 - Vanta,,True,,,True,https://api.substack.com/feed/podcast/36038051/b4362a39626570f4b1f4534ba3258bcb.mp3,,15896,,,,URL,Software at Scale,,2021-05-04 17:52:45,Podcast,,3558000,,,Utsav Shah
2022-01-04 02:36:38,7DFD686BB0A264F6,"Software at Scale 20 - Naphat Sanguansin: ex Server Platform SRE, Dropbox",,True,,,True,https://api.substack.com/feed/podcast/36331124/019b4b27946a05eb0f3791917638b227.mp3,,15898,,,,URL,Software at Scale,,2021-05-12 14:54:55,Podcast,,3755000,,,Utsav Shah
2022-01-04 02:36:38,D64410977F489315,"Software at Scale 21 - Colin Chartier: CEO, LayerCI",,True,,,True,https://api.substack.com/feed/podcast/36610488/861ea61ec429381a6371048a297e84e8.mp3,,15900,,,,URL,Software at Scale,,2021-05-19 20:48:14,Podcast,,3437000,,,Utsav Shah
2022-01-04 02:36:38,4D79E1A905909B56,Software at Scale 22 - Sujay Jayakar,,True,,,True,https://api.substack.com/feed/podcast/37107217/7767c3154c1974d7ff14235455f77012.mp3,,15902,,,,URL,Software at Scale,,2021-06-02 17:03:04,Podcast,,3951000,,,Utsav Shah
2022-01-04 02:36:38,1A9AB057DCCF5228,"Software at Scale 23 - Laurent Ploix: Engineering Manager, Spotify",,True,,,True,https://api.substack.com/feed/podcast/37445809/5528db194dd7022b2dd2b469167c6a9d.mp3,,15904,,,,URL,Software at Scale,,2021-06-10 17:29:21,Podcast,,3572000,,,Utsav Shah
2022-01-04 02:36:38,D34347E24B347EAE,"Software at Scale 24 - Devdatta Akhawe: Head of Security, Figma",,True,,,True,https://api.substack.com/feed/podcast/37695920/569f11d22c66de53ff1495529192bb71.mp3,,15906,,,,URL,Software at Scale,,2021-06-17 17:02:23,Podcast,,3096000,,,Utsav Shah
2022-01-04 02:36:38,52C11C20719B4C44,Software at Scale 25 - Rajesh Venkataraman: Senior Staff Software Engineer at Google,,True,,,True,https://api.substack.com/feed/podcast/38029379/bc20e1dc01f57f40977b7251daf32374.mp3,,15908,,,,URL,Software at Scale,,2021-06-25 15:46:58,Podcast,,3136000,,,Utsav Shah
2022-01-04 02:36:38,B59398E2E6B2AFB8,"Software at Scale 26 - Tramale Turner: Head of Engineering, Traffic at Stripe",,True,,,True,https://api.substack.com/feed/podcast/38477620/7d1cfc29a66cea3ace5e206350b3618c.mp3,,15910,,,,URL,Software at Scale,,2021-07-07 14:37:12,Podcast,,3844000,,,Utsav Shah
2022-01-04 02:36:38,B84294EC9C1CCC78,"Software at Scale 27 - Itiel Schwartz: CTO and Co-Founder, Komodor",,True,,,True,https://api.substack.com/feed/podcast/38758013/d7e82515a36c36709ec9ee157e13b471.mp3,,15912,,,,URL,Software at Scale,,2021-07-15 12:47:27,Podcast,,2612000,,,Utsav Shah
2022-01-04 02:36:38,C1B837875C2AD799,"Software at Scale 28 - Tammy Butow: Principal SRE, Gremlin",,True,,,True,https://api.substack.com/feed/podcast/39261420/3eb01c2d32219c76202f23d88b362fba.mp3,,15914,,,,URL,Software at Scale,,2021-07-27 14:19:32,Podcast,,3497000,,,Utsav Shah
2022-01-04 02:36:38,312A877087E70673,"Software at Scale 29 - Sugu Sougoumarane: CTO, PlanetScale",,True,,,True,https://api.substack.com/feed/podcast/39596804/59a45dae0322d018b11cd90b54d54679.mp3,,15916,,,,URL,Software at Scale,,2021-08-04 14:25:46,Podcast,,4405000,,,Utsav Shah
2022-01-04 02:36:38,25BDF0D1EFC21064,Software at Scale 30 - Bharat Mediratta: Coinbase Fellow,,True,,,True,https://api.substack.com/feed/podcast/40045743/a6325af84a6dd088c09465f02670c186.mp3,,15918,,,,URL,Software at Scale,,2021-08-18 15:25:02,Podcast,,3181000,,,Utsav Shah
2022-01-04 02:36:38,CB04E62D09E7DD7E,"Software at Scale 31 - Maju Kuruvilla: CTO/COO, Bolt",,True,,,True,https://api.substack.com/feed/podcast/40797844/b6eb42f6624998ecd894afa36c1560b2.mp3,,15920,,,,URL,Software at Scale,,2021-09-02 15:58:53,Podcast,,3490000,,,Utsav Shah
2022-01-04 02:36:38,311C06220A4EE732,"Software at Scale 32 - Derrick Stolee: Principal Software Engineer, GitHub",,True,,,True,https://api.substack.com/feed/podcast/41360191/f055b3d741e1766cba239eb838ef7fbd.mp3,,15922,,,,URL,Software at Scale,,2021-09-15 16:36:38,Podcast,,4001000,,,Utsav Shah
2022-01-04 02:36:38,DB4C808156E38BB1,Software at Scale 33 - Drone Engineering with Abhay Venkatesh,,True,,2021-11-06 18:09:07,,https://api.substack.com/feed/podcast/41874412/7791c7aec761260427755891c3e00689.mp3,,15924,,,,URL,Software at Scale,,2021-09-28 15:20:35,Podcast,,2466000,3719045347,,Utsav Shah
2022-01-04 02:36:38,4CFBABEBF89C2822,Software at Scale 34 - Faster Python with Guido van Rossum,,True,,2021-11-06 17:16:17,,https://api.substack.com/feed/podcast/42179748/4011b08caed7fc950802b8190df879b5.mp3,,15926,1,,,URL,Software at Scale,,2021-10-05 16:50:30,Podcast,,1871000,3719042177,,Utsav Shah
2022-01-04 02:36:38,33FD62599FD1C0B7,Software at Scale 35 - Maintaining Git with Johannes Schindelin,,True,,2021-10-30 18:19:54,,https://api.substack.com/feed/podcast/42831086/de7006acfc93e252088e1e7eebd12f23.mp3,,15928,1,,,URL,Software at Scale,,2021-10-20 06:03:54,Podcast,,3340000,3718441194,,Utsav Shah
2022-01-04 02:36:38,A8CBC9A82315689B,Software at Scale 36 - Decomposing Monoliths with Ganesh Datta,,True,,,True,https://api.substack.com/feed/podcast/43380108/f66939337dced10d6cf18d2b2293572c.mp3,,15930,,,,URL,Software at Scale,,2021-11-02 16:01:01,Podcast,,2608000,,,Utsav Shah
2021-12-30 22:54:11,67761D0C1D0D04CB,Software at Scale 37 - Building Zerodha with Kailash Nadh,MPEG audio file,True,320,,True,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Software at Scale/Software at Scale 37 - Building Zero 1.mp3,4,5062,,117603852,1,File,Software at Scale,2021-11-16 23:40:12,2021-11-16 14:16:02,Podcast,44100,2939036,,2021,Utsav Shah
