unplayed,date_added,release_date,location,persistent_id,name,total_time,genre,podcast,track_id,artist,track_type,album
True,2021-12-30 22:58:16,2020-07-11 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah52.mp3,6857574661864CEB,Isaiah 52,1515000,Podcast,True,5132,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-10 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah53.mp3,70933B9AE10A3666,Isaiah 53,2395000,Podcast,True,5130,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-09 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah54.mp3,BDB188596682193E,Isaiah 54,2260000,Podcast,True,5128,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-08 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah55.mp3,49AB642B41F22C83,Isaiah 55,1235000,Podcast,True,5126,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-07 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah56.mp3,C4A409B5887FB8CF,Isaiah 56,1266000,Podcast,True,5124,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-06 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah57.mp3,C56FDC2BAC66D7F7,Isaiah 57,1679000,Podcast,True,5122,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-05 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah58.mp3,C55D4CB0EAE6B4BA,Isaiah 58,1065000,Podcast,True,5120,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-04 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah59.mp3,B8B9795C18EA4A77,Isaiah 59,2021000,Podcast,True,5118,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-03 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah60.mp3,6BC4E53B56D431B4,Isaiah 60,2350000,Podcast,True,5116,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-02 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah61.mp3,5E7E2C6C8A9E83E1,Isaiah 61,2106000,Podcast,True,5114,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-07-01 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah62.mp3,F753EA28E4193474,Isaiah 62,1911000,Podcast,True,5112,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-06-30 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah63.mp3,160034BE3514E51D,Isaiah 63,2081000,Podcast,True,5110,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-06-29 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah64.mp3,4C2D57BB5E88368D,Isaiah 64,1962000,Podcast,True,5108,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-06-28 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah65.mp3,A21E222DB7B4FD4A,Isaiah 65,2338000,Podcast,True,5106,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
True,2021-12-30 22:58:16,2020-06-27 17:00:00,https://www.isaiahexplained.com/media/commentary/Isaiah66.mp3,28CC4FC75E5A4554,Isaiah 66,2427000,Podcast,True,5104,"Avraham Gileadi, Ph.D., the Isaiah Institute",URL,Analytical Commentary of Isaiah
