unplayed,date_added,release_date,location,persistent_id,name,total_time,genre,podcast,play_date,track_id,play_date_utc,play_count,track_type,size,album,sort_name
True,2021-12-30 22:58:20,2020-02-17 02:57:29,https://ldsperfectday.podomatic.com/enclosure/2020-02-16T18_57_29-08_00.mp3?_=1581908341.14612756,D7AA8649A79F6C12,The Best Friend You Never Knew Part 5: Envision the Real Yeshua,1116000,Podcast,True,3674985006,8644,2020-06-14 19:10:06,,URL,13402242,LDS Perfect Days Podcast,Best Friend You Never Knew Part 5: Envision the Real Yeshua
,2021-12-30 22:58:20,2020-03-14 20:13:21,https://ldsperfectday.podomatic.com/enclosure/2020-03-14T13_13_21-07_00.mp3?_=1584216827.14665207,3C4C5E568CE07E90,"""Greater Works""",741000,Podcast,True,3687937126,8646,2020-11-11 17:58:46,1,URL,8898000,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2020-03-19 22:37:35,https://ldsperfectday.podomatic.com/enclosure/2020-03-19T15_37_35-07_00.mp3?_=1584657488.14676916,57F710561518E0F2,"The Best Friend You Never Knew Part 6: Yeshua, The Forgotten Healer",904000,Podcast,True,3674985006,8648,2020-06-14 19:10:06,,URL,10857497,LDS Perfect Days Podcast,"Best Friend You Never Knew Part 6: Yeshua, The Forgotten Healer"
,2021-12-30 22:58:20,2020-04-08 04:04:25,https://ldsperfectday.podomatic.com/enclosure/2020-04-07T21_04_25-07_00.mp3?_=1586318748.14728575,038D89AE0CE10F55,Experience the Modern-Day Passover in Your Own Home (led by Jonathan Cahn)!,295000,Podcast,True,3688460416,8650,2020-11-17 19:20:16,1,URL,3551708,LDS Perfect Days Podcast,
,2021-12-30 22:58:20,2020-05-28 03:36:40,https://ldsperfectday.podomatic.com/enclosure/2020-05-27T20_36_40-07_00.mp3?_=1590637034.14851550,2A1D404D8452CB0F,The Best Friend You Never Knew Part 7: “Ye Never Knew Me”,931000,Podcast,True,3688462290,8652,2020-11-17 19:51:30,1,URL,11174415,LDS Perfect Days Podcast,Best Friend You Never Knew Part 7: “Ye Never Knew Me”
,2021-12-30 22:58:20,2020-06-23 02:42:40,https://ldsperfectday.podomatic.com/enclosure/2020-06-22T19_42_40-07_00.mp3?_=1592880211.14907238,5DB7BB09348F1FEF,The Best Friend You Never Knew Part 8: The Non-Judgmental Savior,1433000,Podcast,True,3688463862,8654,2020-11-17 20:17:42,1,URL,17206193,LDS Perfect Days Podcast,Best Friend You Never Knew Part 8: The Non-Judgmental Savior
,2021-12-30 22:58:20,2020-07-06 01:21:43,https://ldsperfectday.podomatic.com/enclosure/2020-07-05T18_21_43-07_00.mp3?_=1593998544.14932333,16CAD21A5B070953,The Best Friend You Never Knew Part 9: When God Seems Distant,1668000,Podcast,True,3688465797,8656,2020-11-17 20:49:57,1,URL,20028044,LDS Perfect Days Podcast,Best Friend You Never Knew Part 9: When God Seems Distant
,2021-12-30 22:58:20,2020-07-23 04:25:29,https://ldsperfectday.podomatic.com/enclosure/2020-07-22T21_25_29-07_00.mp3?_=1595478392.14967113,B4731A471646C752,The Best Friend You Never Knew Part 10: Why You Need to Dialogue with Yeshua Daily,1430000,Podcast,True,3688467235,8658,2020-11-17 21:13:55,1,URL,17171711,LDS Perfect Days Podcast,Best Friend You Never Knew Part 10: Why You Need to Dialogue with Yeshua Daily
True,2021-12-30 22:58:20,2020-08-10 02:08:50,https://ldsperfectday.podomatic.com/enclosure/2020-08-09T19_08_50-07_00.mp3?_=1597025359.15001094,28B0CB1A91205E01,The Best Friend You Never Knew Part 11: Your Great I AM,1093000,Podcast,True,3680933972,8660,2020-08-22 15:39:32,,URL,13122941,LDS Perfect Days Podcast,Best Friend You Never Knew Part 11: Your Great I AM
,2021-12-30 22:58:20,2020-10-08 01:38:46,https://ldsperfectday.podomatic.com/enclosure/2020-10-07T18_38_46-07_00.mp3?_=1602121175.15109289,534A392234603212,The Best Friend You Never Knew Part 12: Dialogue with Yeshua Every Day of Your Life,1437000,Podcast,True,3688478198,8662,2020-11-18 00:16:38,1,URL,17249739,LDS Perfect Days Podcast,Best Friend You Never Knew Part 12: Dialogue with Yeshua Every Day of Your Life
,2021-12-30 22:58:20,2020-10-26 01:25:19,https://ldsperfectday.podomatic.com/enclosure/2020-10-25T18_25_19-07_00.mp3?_=1603675552.15143192,BFA37DA6895A2DBA,The Best Friend You Never Knew Part 13: Formal and Informal Prayer,926000,Podcast,True,3688531059,8664,2020-11-18 14:57:39,1,URL,11123221,LDS Perfect Days Podcast,Best Friend You Never Knew Part 13: Formal and Informal Prayer
,2021-12-30 22:58:20,2020-11-01 19:57:44,https://ldsperfectday.podomatic.com/enclosure/2020-11-01T11_57_44-08_00.mp3?_=1604260795.15156130,79E3BD129B0BC4A0,"The Best Friend You Never Knew Part 14: ""We will come unto him, and make our abode with him""",1213000,Podcast,True,3692096218,8666,2020-12-29 21:16:58,1,URL,14559884,LDS Perfect Days Podcast,"Best Friend You Never Knew Part 14: ""We will come unto him, and make our abode with him"""
,2021-12-30 22:58:20,2020-11-08 23:19:43,https://ldsperfectday.podomatic.com/enclosure/2020-11-08T15_19_43-08_00.mp3?_=1604877633.15169625,BA738AA491EB1392,The Best Friend You Never Knew Part 15: The Third Comforter,1397000,Podcast,True,3692159671,8668,2020-12-30 14:54:31,1,URL,16773918,LDS Perfect Days Podcast,Best Friend You Never Knew Part 15: The Third Comforter
,2021-12-30 22:58:20,2020-11-23 01:50:36,https://ldsperfectday.podomatic.com/enclosure/2020-11-22T17_50_36-08_00.mp3?_=1606096279.15196956,4BBF40F9AD2B34B4,Episode 67: The Best Friend You Never Knew Part 16: Coming Down from the Mountain,7196000,Podcast,True,3692588381,8670,2021-01-04 13:59:41,1,URL,15292776,LDS Perfect Days Podcast,
,2021-12-30 22:58:20,2020-12-21 05:51:34,https://ldsperfectday.podomatic.com/enclosure/2020-12-20T21_51_34-08_00.mp3?_=1608529940.15250977,8D8A52CB9A232485,Episode 68: Two Christmas Presents to you from LDS Perfect Day,1016000,Podcast,True,3692591101,8672,2021-01-04 14:45:01,1,URL,12193817,LDS Perfect Days Podcast,
,2021-12-30 22:58:20,2021-01-20 16:59:43,https://ldsperfectday.podomatic.com/enclosure/2021-01-20T08_59_43-08_00.mp3?_=1611162095.15301880,094CF062D055160F,"Episode 69: False Prophecies, False Blessings and False Messages",1914000,Podcast,True,3695356409,8674,2021-02-05 14:53:29,1,URL,22972776,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2021-02-15 15:26:10,https://ldsperfectday.podomatic.com/enclosure/2021-02-15T07_26_10-08_00.mp3?_=1613402792.15353511,34C6D96FD679BD59,Episode 70: The Gift of Healing Part 1: Let the Healing Begin,1207000,Podcast,True,,8676,,,URL,14495310,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2021-02-22 02:06:01,https://ldsperfectday.podomatic.com/enclosure/2021-02-21T18_06_01-08_00.mp3?_=1613959615.15366083,CCCAB7E95DE66FE0,"Episode 71: The Gift of Healing Part 2: What's Under the ""Tip of the Iceberg"" Regarding the Gift of Healing",306000,Podcast,True,,8678,,,URL,3682496,LDS Perfect Days Podcast,
