date_added,clean,persistent_id,name,kind,podcast,album_artist,bitrate,play_date_utc,unplayed,comments,track_number,location,file_folder_count,track_id,play_count,size,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist,normalization,bpm
2021-12-30 22:58:21,True,DC153CD41CBC2C24,4th Watch: My Testimony,,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/04/Easter-Testimony.mp3,,8856,1,15014557,,URL,Latter-day Saint FAIR-Cast,,,2015-04-05 04:14:05,Podcast,,626000,3709290442,,FAIR,,
2021-12-30 22:58:21,True,4CB12903E7DDA54C,Articles of Faith Podcast: Joseph Smith’s Polygamy – Interview with Brian and Laura Hales,,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/04/AOF-BrianandLauraHales-JosephSmithPolygamy.mp3,,8858,1,50983302,,URL,Latter-day Saint FAIR-Cast,,,2015-04-06 22:00:48,Podcast,,2015000,3709290442,,FAIR,,
2021-12-30 22:58:21,True,46D04995D1984927,Best of FairMormon: April 2015 General Conference – An Apologetic Review (Part 1 – Saturday Sessions),,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/04/2015-General-Conference-Saturday-Sessions.mp3,,8860,1,101019265,,URL,Latter-day Saint FAIR-Cast,,,2015-04-08 19:57:25,Podcast,,3970000,3709290442,,FAIR,,
2021-12-30 22:58:21,,88EC8FB6F16BB23A,Faith and Reason 41: Sheum,,True,,,2021-07-16 20:27:23,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/04/Sheum2.mp3,,8862,1,11320996,,URL,Latter-day Saint FAIR-Cast,,,2015-04-19 02:02:28,Podcast,,708000,3709290443,,FAIR,,
2021-12-30 22:58:21,True,EEFBAC960C081184,Best of FairMormon: April 2015 General Conference – An Apologetic Review (Part 2 – Sunday Sessions & Women’s Session),,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/04/2015-General-Conference-Sunday-Sessions.mp3,,8864,1,93626948,,URL,Latter-day Saint FAIR-Cast,,,2015-04-20 04:59:14,Podcast,,4804000,3709290442,,FAIR,,
2021-12-30 22:58:21,True,C054799BEEA7A079,Front Page News Review #7,,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/05/FrontPage7.mp3,,8866,1,38457246,,URL,Latter-day Saint FAIR-Cast,,,2015-04-24 02:04:21,Podcast,,1549000,3709290442,,FAIR,,
2021-12-30 22:58:21,True,03A878BC3CD52FC4,Fair Issues 83: Great Lakes Book of Mormon geography,,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/04/Fair-Issues-83-Pod.mp3,,8868,1,12018417,,URL,Latter-day Saint FAIR-Cast,,,2015-04-27 06:07:02,Podcast,,501000,3709290442,,FAIR,,
2021-12-30 22:58:21,True,2B300034C08EBA30,RiseUp Podcast – The H Word,,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/04/RiseUp-The-H-Word.mp3,,8870,1,29341074,,URL,Latter-day Saint FAIR-Cast,,,2015-04-27 16:07:18,Podcast,,1285000,3709290442,,FAIR,,
2021-12-30 22:58:21,True,A849C16EFEE34986,Fair Issues 84: Two arguments for Great Lakes model not conclusive,,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/04/Fair-Issues-84-Pod.mp3,,8872,1,10964533,,URL,Latter-day Saint FAIR-Cast,,,2015-05-03 14:00:16,Podcast,,457000,3709290442,,FAIR,,
2021-12-30 22:58:21,True,C4FB75D51D8A1C96,RiseUp Podcast – Interview with Rod Olson,,True,,,2021-07-16 20:27:22,,,,https://media.blubrry.com/mormonfaircast/www.fairlatterdaysaints.org/wp-content/uploads/2015/04/RiseUp-RodOlson.mp3,,8874,1,98228510,,URL,Latter-day Saint FAIR-Cast,,,2015-05-04 04:39:55,Podcast,,3874000,3709290442,,FAIR,,
